execution,case_id,parent_case_id,operator_id,novel_coverage,added_to_corpus,result_class,signature
199,6cfd1865ffc1f8ef204105c7a84511389451823c446f6e88dece8a3dc0991983,b02b7753db6077bcb1307e275541a87cad7d3bef2a9feb73c7d7eb0d728b7649,sequence.swap-adjacent.v1,0,false,COMPLETE,
200,f833488502dd9cc0e5dd0065713f926f3079d9de3050d8a1fe9abc5b7d98e933,04f872b251121f76e07303c81ed53e656d3b0e03302deb5447c8b845b4f673b0,sequence.insert.v1,0,false,COMPLETE,
201,ea4c5f9f956f0df2b69c98e92373f14bab5c7af35bb08e2393aa203b6169ca37,2f0064a7c2dab26f06feb2a40349aa0311e280e56ac33bb2951ce29b8963ca51,sequence.insert.v1,0,false,COMPLETE,
202,b5ed704efb45668e49afa5322c2a0b51f44468675d5fba1789f9a0a98196dde2,f9d4c1f53e5a615b5ae0b018816e151182a7700a626d65c835603c95a56ce1b6,sequence.insert.v1,0,false,COMPLETE,
203,bc54dc0246f7fba8330d2cff270709e2648b7d6c7d77b4038f2ee9f8cf2c1663,cc6911b8fc6623b694e7a18792aa6639841d7e385deb12d0f5e1c1fe73436d3f,sequence.insert.v1,0,false,COMPLETE,
204,51a1cdb7e521710099958c5688d8d48974874d5db309d74ee0453f7a9779b296,b02b7753db6077bcb1307e275541a87cad7d3bef2a9feb73c7d7eb0d728b7649,sequence.swap-adjacent.v1,0,false,COMPLETE,
205,8d91b07b9c235c0e256da79ed6957dccb6c81292166b846816c20ef19f949d75,ee582bcddea597e6d33eced0452c541c563b11eb246117d58782fd34dbeef954,sequence.delete.v1,0,false,COMPLETE,
206,7875ef6f6f3733a4cc0c20c7a21fb8ee78785ed80b6bddb03ece541c6f4f7a77,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,scalar.boundary.v1,0,false,COMPLETE,
207,0a873ed15fff7ff142bc49bfa594582c0619fd3b6b1fe3698ac59a9fafcb1c8d,0a6ff6570d6122e5d7005a3229e4e0a51db33ea4de2e5f9d4593654b4cf6cb51,sequence.delete.v1,0,false,COMPLETE,
208,a8930a0e40bcd17315021463eb04bda38b334d982fc11385e625812689987b8b,a6ca9337e946b7a1d07808cbc6df07b51372b079f264936bc6830cbfe0516d9f,sequence.insert.v1,0,false,COMPLETE,
209,86d5a4a79319c6648eab320fb0fdc2a2a8a9511714664bee0e173c0b69ed4771,7f1c1286a34ccd055ad5ef3044ae69c32f24b19ef4243b46cdf52635bf628c59,sequence.swap-adjacent.v1,0,false,COMPLETE,
210,34f592e93b30f4e4348d8c14f75b0052abd300819176b34f67efc73e61544092,bdb2048547dae53a83da121696f990ef1a6cffcc1bd7a9033746de6464e7798b,sequence.delete.v1,0,false,COMPLETE,
